,Words,Scores
0,abil,0.00012416859533089645
1,actual,0.0006961488543271923
2,advertis,-0.005592582215163179
3,agenc,0.0006353814403691496
4,aggreg,-0.0010330308303088183
5,agreement,7.96548813763754e-05
6,allow,0.002174006034169924
7,although,-0.003593985395296731
8,alway,0.0009817112358015267
9,amort,-0.0003787431157370349
10,amount,-7.095332274396786e-05
11,analysi,-0.00235144223269498
12,annum,0.005612253850654086
13,anticip,-0.0006108811400492082
14,appear,-3.140136568445485e-05
15,asset,0.0005090309782807184
16,assumpt,-0.0007160525422281654
17,automot,0.0034899736151166147
18,avoid,0.005127965928273632
19,becam,0.0007868240083977099
20,better,0.0007108439265706277
21,billion,0.001770930263426229
22,boulevard,-0.001236876400982878
23,broad,-0.006336743486526066
24,cancel,0.0009649746159589248
25,cash,0.0019812829647286923
26,challeng,-0.005367839590826293
27,channel,0.0005125408616287037
28,collater,-0.001024438406269509
29,communiti,-0.0010741740408681056
30,complex,-0.0012992030020809145
31,complianc,-0.0029300048262177253
32,compris,0.004078202426603135
33,consumm,0.006653073414559419
34,continu,-0.003894569620616585
35,contractor,0.0014241122766792305
36,convert,-0.00011106480166379078
37,core,-0.0013946283627868804
38,customari,0.0010933306510371198
39,david,-0.0037747621872592455
40,deal,-0.0033875386809373307
41,decis,-0.0005943472754842488
42,declin,-0.02044197721408736
43,decreas,-0.0017348395226517127
44,delay,-0.009059903714840244
45,depreci,-0.005140269372453181
46,dial,2.8888205789378216e-05
47,difficult,-0.00019819182162491864
48,digit,-0.0024884931235306233
49,electron,0.001046918513496397
50,enabl,0.002342810503702811
51,enact,-0.0026715422893278658
52,ensur,-0.0012085668321777266
53,equal,-0.0008105665685853565
54,european,0.0018571201756620837
55,exceed,0.0022001239828103826
56,excel,0.0043732170199807865
57,except,0.004478221728406808
58,expens,0.001396980393350917
59,experienc,-0.01166179212395941
60,exposur,-0.0023596976379632677
61,extens,0.0017132872960443095
62,extern,-0.0004394692413160717
63,facil,0.010634929891935931
64,favor,0.007264847831626948
65,fit,-0.00042225551783326316
66,forecast,-0.0001762822269655735
67,four,9.930187486873028e-05
68,gift,-0.0022026790366368727
69,goodwil,-0.0007450601652629805
70,grade,-0.0013079195350867694
71,grew,0.0013886211340391294
72,hand,0.00035266782331285515
73,harbor,0.0011825380945349366
74,highlight,0.002357777998519998
75,holiday,-0.0015185732718072118
76,howev,-0.001453974196161545
77,identifi,0.0005851838157063219
78,impact,-0.0040905021220722934
79,improv,0.03252577450212168
80,includ,0.0010448287363733477
81,increas,0.01127270131197398
82,inher,6.558885833219511e-05
83,injunct,0.0018808794543630925
84,interim,-0.002821340608507133
85,introduct,-0.003542269004458135
86,larger,-8.726381516529569e-05
87,led,0.0003376405398734466
88,leverag,0.0026391753353792466
89,like,-0.0005200370449591195
90,live,0.003171961584643962
91,local,0.001885024250308232
92,longer,-0.0014458823896407345
93,lower,-0.013767401103037305
94,mandatori,0.0016745112844045974
95,membership,0.0020424277634116268
96,met,-0.0005180479252104664
97,middl,0.004555136800995125
98,million,0.0010117098836011037
99,minus,0.003967129259655486
100,negat,-0.01615035621411029
101,noth,-0.0020903633448180964
102,now,-0.0053731311088532074
103,obtain,-0.002341066442431751
104,offer,-0.005157438775116319
105,ohio,0.0038901991378951367
106,ordinari,0.0014592065859985654
107,own,0.004221056491436125
108,pass,-0.00038305489893804425
109,payrol,0.004872014520900062
110,percentag,0.0020577789650428136
111,placement,-0.0014957190886120725
112,pleas,0.002788010146950496
113,posit,0.0042154091479120435
114,predecessor,-0.0032075413196542718
115,premium,0.001286822640187019
116,pressur,-0.005471483593645712
117,print,-1.1680288293269528e-05
118,prior,0.002505514481302639
119,program,0.0014491991220117813
120,project,-0.005481949532023861
121,provid,0.0005697565972487005
122,rais,0.01604289597661852
123,rang,-0.0003112051499488193
124,rapid,-0.0022487468818726142
125,raw,-0.000444620610739088
126,record,0.0002470982913399445
127,reduc,-0.0025136997712700685
128,referenc,-0.00027911345572643396
129,reflect,0.0015171248360318524
130,regular,-0.0007090426776869201
131,remain,-0.003179879408043348
132,reorgan,-0.003342532683259295
133,repurchas,0.0074100058277159295
134,reput,0.0009085415828482374
135,respond,-0.0018179173231637465
136,retain,0.001057210545766223
137,review,-0.002925788442838645
138,rise,-0.0021270062914156584
139,secur,0.0027147721023420093
140,shift,-0.0031142397466537818
141,short,-0.0007290381959789284
142,situat,-0.0025967225083343326
143,six,0.0007829472477110765
144,skill,-0.0013055225083919686
145,spend,-0.000773397591713447
146,staff,-0.001280921967823947
147,statist,0.0003728360865309669
148,strateg,0.0026049631068993944
149,strong,0.014412327032371637
150,stronger,0.008002796735379887
151,subordin,4.3437146423508055e-05
152,suffici,-0.0014523769956976474
153,swap,-0.0011069636569885283
154,take,-0.00044304843248268235
155,tangibl,-0.0035286891501017962
156,third,-0.003354106213154087
157,treasuri,0.0005048115094444047
158,treat,0.0011172051999000366
159,undertak,0.0001984183690861982
160,unfavor,-0.0011316692980106384
161,univers,-0.0026969714895311173
162,unlaw,-0.0013394035648579413
163,usa,-0.0013100936309467894
164,vacat,0.007556495466410846
165,various,-0.001107476348689161
166,venu,0.0019761705129500537
167,volum,-0.0015061217547802422
168,waiver,0.009512337868726028
169,weak,-0.0039324252408255355
170,world,0.0006734134973693473
171,yet,-0.0011965073465720554
